roi,epoch,experiment,rho,p_value
V2,56,random_target_e10_l10,0.004365088058944274,0.0020352021885703246
LO2,56,random_target_e10_l10,0.13804677760731893,0.0
LO1,56,random_target_e10_l10,0.06911541148793769,0.0
V3,56,random_target_e10_l10,0.001349757779089065,0.3401121946285063
FFC,56,random_target_e10_l10,0.12815336841676614,0.0
LO3,56,random_target_e10_l10,0.10048785544075278,0.0
V1,57,random_target_e10_l10,0.007679012264965364,5.723456789008141e-08
PIT,57,random_target_e10_l10,0.08947827563607334,0.0
V2,57,random_target_e10_l10,0.005203226032161252,0.0002356123009559679
LO2,57,random_target_e10_l10,0.13884570952396577,0.0
LO1,57,random_target_e10_l10,0.06947915721540186,0.0
V3,57,random_target_e10_l10,0.0018408201061977784,0.19325734726555133
FFC,57,random_target_e10_l10,0.1291203273791558,0.0
LO3,57,random_target_e10_l10,0.1010846771273451,0.0
V1,58,random_target_e10_l10,0.009471409482313606,2.1703004876165275e-11
PIT,58,random_target_e10_l10,0.09122085563765993,0.0
V2,58,random_target_e10_l10,0.006687534533515619,2.284486040478328e-06
LO2,58,random_target_e10_l10,0.14092065333959852,0.0
LO1,58,random_target_e10_l10,0.06923907164557763,0.0
V3,58,random_target_e10_l10,0.0024089937537654063,0.08865004634511818
FFC,58,random_target_e10_l10,0.1305663300366967,0.0
LO3,58,random_target_e10_l10,0.10058975676210438,0.0
V1,59,random_target_e10_l10,0.008211018511572707,6.504309704619283e-09
PIT,59,random_target_e10_l10,0.09248200946130565,0.0
V2,59,random_target_e10_l10,0.005967442244707699,2.469869081955366e-05
LO2,59,random_target_e10_l10,0.1422909382400453,0.0
LO1,59,random_target_e10_l10,0.07019986845254943,0.0
V3,59,random_target_e10_l10,0.0017678537685331315,0.21150636084240265
FFC,59,random_target_e10_l10,0.132565577456255,0.0
LO3,59,random_target_e10_l10,0.10205824150321575,0.0
V1,60,random_target_e10_l10,0.00933408822744539,4.1949473230770435e-11
PIT,60,random_target_e10_l10,0.09204669285278504,0.0
V2,60,random_target_e10_l10,0.006447120277082786,5.199857591599195e-06
LO2,60,random_target_e10_l10,0.14226786708744843,0.0
LO1,60,random_target_e10_l10,0.069026890809881,0.0
V3,60,random_target_e10_l10,0.0019460390029502005,0.1690176835775107
FFC,60,random_target_e10_l10,0.13179943154583795,0.0
LO3,60,random_target_e10_l10,0.10107724193057628,0.0
V1,61,random_target_e10_l10,0.007629215310415447,6.966348062352259e-08
PIT,61,random_target_e10_l10,0.09095591922393567,0.0
V2,61,random_target_e10_l10,0.005051405249098017,0.0003568308652209853
LO2,61,random_target_e10_l10,0.14062006348908068,0.0
LO1,61,random_target_e10_l10,0.06886162714446181,0.0
V3,61,random_target_e10_l10,0.00117313290516837,0.40704014346937867
FFC,61,random_target_e10_l10,0.13026103471411793,0.0
LO3,61,random_target_e10_l10,0.10071505375113277,0.0
V1,62,random_target_e10_l10,0.006952313806219124,8.941147697721733e-07
PIT,62,random_target_e10_l10,0.09116656691421864,0.0
V2,62,random_target_e10_l10,0.004421919539151802,0.0017767637098025073
LO2,62,random_target_e10_l10,0.14145517988013936,0.0
LO1,62,random_target_e10_l10,0.06885012621290089,0.0
V3,62,random_target_e10_l10,0.0007259655739649834,0.6078972971799494
FFC,62,random_target_e10_l10,0.13021886871398333,0.0
LO3,62,random_target_e10_l10,0.10068622242503984,0.0
V1,63,random_target_e10_l10,0.008190988187329431,7.076909722885603e-09
PIT,63,random_target_e10_l10,0.0906513823671394,0.0
V2,63,random_target_e10_l10,0.005946327153531429,2.6385260684633675e-05
LO2,63,random_target_e10_l10,0.13967763871296185,0.0
LO1,63,random_target_e10_l10,0.06978004411819774,0.0
V3,63,random_target_e10_l10,0.0022999600683725903,0.10405562087943165
FFC,63,random_target_e10_l10,0.13047949768377595,0.0
LO3,63,random_target_e10_l10,0.10088690623195991,0.0
V1,64,random_target_e10_l10,0.007542493561560628,9.78114984149231e-08
PIT,64,random_target_e10_l10,0.08960547937449317,0.0
V2,64,random_target_e10_l10,0.004598229738050918,0.0011547712192072465
LO2,64,random_target_e10_l10,0.1395980313311586,0.0
LO1,64,random_target_e10_l10,0.06819375031101216,0.0
V3,64,random_target_e10_l10,0.0009349533928060488,0.5087535798027971
FFC,64,random_target_e10_l10,0.1286207062501549,0.0
LO3,64,random_target_e10_l10,0.10013656495933396,0.0
V1,65,random_target_e10_l10,0.006382497614458597,6.455775230096083e-06
PIT,65,random_target_e10_l10,0.0895447654086725,0.0
V2,65,random_target_e10_l10,0.003790823191673239,0.007380290396091898
LO2,65,random_target_e10_l10,0.13904676187930917,0.0
LO1,65,random_target_e10_l10,0.06778699445196021,0.0
V3,65,random_target_e10_l10,0.0001621668489248506,0.9087529503403046
FFC,65,random_target_e10_l10,0.12812848813940872,0.0
LO3,65,random_target_e10_l10,0.09970670203514276,0.0
V1,66,random_target_e10_l10,0.007299003322511014,2.487377039912298e-07
PIT,66,random_target_e10_l10,0.09046268411838496,0.0
V2,66,random_target_e10_l10,0.004596329039728682,0.0011602377022056386
LO2,66,random_target_e10_l10,0.14036828806669818,0.0
LO1,66,random_target_e10_l10,0.0676382215003516,0.0
V3,66,random_target_e10_l10,0.00048382484915823726,0.7323931148393972
FFC,66,random_target_e10_l10,0.12930167186641822,0.0
LO3,66,random_target_e10_l10,0.09956447719607049,0.0
V1,67,random_target_e10_l10,0.007230267445015614,3.2204251748929294e-07
PIT,67,random_target_e10_l10,0.09191886068638994,0.0
V2,67,random_target_e10_l10,0.005060840179096406,0.0003478545045009492
LO2,67,random_target_e10_l10,0.14200330184853682,0.0
LO1,67,random_target_e10_l10,0.06934085837855022,0.0
V3,67,random_target_e10_l10,0.00098267011098079,0.48736643420358994
FFC,67,random_target_e10_l10,0.13140045161127267,0.0
LO3,67,random_target_e10_l10,0.10132163527305192,0.0
V1,68,random_target_e10_l10,0.009216562814561142,7.31965867259329e-11
PIT,68,random_target_e10_l10,0.09085633505840925,0.0
V2,68,random_target_e10_l10,0.006663664120809605,2.4819606765441833e-06
LO2,68,random_target_e10_l10,0.1405690445623015,0.0
LO1,68,random_target_e10_l10,0.06906705327294335,0.0
V3,68,random_target_e10_l10,0.0020772461496319935,0.1420775647946208
FFC,68,random_target_e10_l10,0.13038337809533096,0.0
LO3,68,random_target_e10_l10,0.10051896870171967,0.0
V1,69,random_target_e10_l10,0.008756908685173396,6.051795234585688e-10
PIT,69,random_target_e10_l10,0.0900021043256742,0.0
V2,69,random_target_e10_l10,0.006235222611353757,1.0491141248067608e-05
LO2,69,random_target_e10_l10,0.13913369181396756,0.0
LO1,69,random_target_e10_l10,0.06884692836241355,0.0
V3,69,random_target_e10_l10,0.0019711517858920988,0.16358484256258235
FFC,69,random_target_e10_l10,0.12979427844022542,0.0
LO3,69,random_target_e10_l10,0.10030208212692722,0.0
